0    ,-0.500000,-0.866025,-1.000000,  1.000000, 1.000000, 1.000000, 1.000000, -0.500000,-0.866025, 0.000048,  0.000000, 0.500000,
2    ,-0.500000,-0.866025, 1.000000,  1.000000, 1.000000, 1.000000, 1.000000, -0.353528,-0.612328, 0.707158,  0.000000, 1.000000,
3    , 0.500000, 0.866025, 1.000000,  1.000000, 1.000000, 1.000000, 1.000000,  0.353579, 0.612417, 0.707056,  0.500000, 1.000000,
1    , 0.500000, 0.866025,-1.000000,  1.000000, 1.000000, 1.000000, 1.000000,  0.500000, 0.866025, 0.000048,  0.500000, 0.500000,
4    ,-1.000000, 0.000000,-1.000000,  1.000000, 1.000000, 1.000000, 1.000000, -1.000000,-0.000000, 0.000048,  0.500000, 0.500000,
6    ,-1.000000,-0.000000, 1.000000,  1.000000, 1.000000, 1.000000, 1.000000, -0.707056,-0.000000, 0.707158,  0.500000, 1.000000,
7    , 1.000000,-0.000000, 1.000000,  1.000000, 1.000000, 1.000000, 1.000000,  0.707158,-0.000000, 0.707056,  1.000000, 1.000000,
5    , 1.000000, 0.000000,-1.000000,  1.000000, 1.000000, 1.000000, 1.000000,  1.000000,-0.000000, 0.000048,  1.000000, 0.500000,
8    , 0.500000,-0.866025,-1.000000,  1.000000, 1.000000, 1.000000, 1.000000,  0.500000,-0.866025, 0.000048,  0.000000, 0.000000,
9    ,-0.500000, 0.866025,-1.000000,  1.000000, 1.000000, 1.000000, 1.000000, -0.500000, 0.866025, 0.000048,  0.500000, 0.000000,
11   ,-0.500000, 0.866025, 1.000000,  1.000000, 1.000000, 1.000000, 1.000000, -0.353528, 0.612328, 0.707158,  0.500000, 0.500000,
10   , 0.500000,-0.866025, 1.000000,  1.000000, 1.000000, 1.000000, 1.000000,  0.353579,-0.612417, 0.707056,  0.000000, 0.500000,
