 0.000000,-0.425864, 0.016258, 1.000000,0.917647,0.898039,  0.262764,-0.005951, 0.964812,
 0.035343, 0.417786, 0.011853, 0.870588,0.796078,0.780392,  0.262764,-0.005951, 0.964812,
 0.000000, 0.409973, 0.021431, 0.741176,0.678431,0.662745,  0.262764,-0.005951, 0.964812,
 0.043550, 0.401985, 0.000287, 0.870588,0.796078,0.780392,  0.821650,-0.017457,-0.569689,
 0.020390,-0.404091,-0.008417, 1.000000,0.917647,0.898039,  0.821650,-0.017457,-0.569689,
 0.035343, 0.417422,-0.012023, 0.870588,0.796078,0.780392,  0.821650,-0.017457,-0.569689,
 0.000000,-0.489557,-0.000026, 1.000000,0.917647,0.898039,  0.449934,-0.192938,-0.871944,
 0.020390,-0.404091,-0.008417, 1.000000,0.917647,0.898039,  0.449934,-0.192938,-0.871944,
 0.031345,-0.416398,-0.000041, 1.000000,0.917647,0.898039,  0.449934,-0.192938,-0.871944,
 0.020843,-0.403484, 0.008612, 1.000000,0.917647,0.898039,  0.804621,-0.016541, 0.593524,
 0.043550, 0.401985, 0.000287, 0.870588,0.796078,0.780392,  0.804621,-0.016541, 0.593524,
 0.035343, 0.417786, 0.011853, 0.870588,0.796078,0.780392,  0.804621,-0.016541, 0.593524,
 0.020843,-0.403484, 0.008612, 1.000000,0.917647,0.898039,  0.465468,-0.199255, 0.862300,
 0.000000,-0.489557,-0.000026, 1.000000,0.917647,0.898039,  0.465468,-0.199255, 0.862300,
 0.031345,-0.416398,-0.000041, 1.000000,0.917647,0.898039,  0.465468,-0.199255, 0.862300,
 0.035343, 0.417786, 0.011853, 0.631373,0.505882,0.458824,  0.120334, 0.023194, 0.992431,
 0.122039, 0.456273, 0.000439, 0.301961,0.235294,0.203922,  0.120334, 0.023194, 0.992431,
 0.027734, 0.454934, 0.011907, 0.631373,0.505882,0.458824,  0.120334, 0.023194, 0.992431,
 0.035343, 0.417422,-0.012023, 0.631373,0.505882,0.458824,  0.071932, 0.003143,-0.997375,
 0.027734, 0.454934,-0.012453, 0.631373,0.505882,0.458824,  0.071932, 0.003143,-0.997375,
 0.114020, 0.472100,-0.006174, 0.301961,0.235294,0.203922,  0.071932, 0.003143,-0.997375,
 0.000000, 0.409973, 0.021431, 0.631373,0.505882,0.458824,  0.165838, 0.105380, 0.980499,
